Timestamp,Actor,Target,Spell,Aura Apply,White Damage,White Crit,Yellow Damage,Yellow Crit,Consecutive Crit,Buffer Income,Observed Buffer,Expected Buffer,Observed Tick,Expected Tick,Buffer Delta,Tick Delta,Delta Ratio,Remaining Deep Wound Tick,Vomit Before,Vomit After,Vomit Before Bonus,Vomit After Bonus,Munched,Munched Bonus,Total Observed Tick,Total Expected Tick,Total Tick Damage Delta,Total Vomit Before,Total Vomit After,Total Munched Bonus
5/8 16:07:16.993,Player-4904-00822A31,BUFF,Berserker Stance,1,,,,,0,0,0,0,,,,,,0,,,,,,,1126,1125.0858333333333,0.9141666666666879,0.0,0.0,0.0
5/8 16:07:16.993,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Heroic Strike,,118.0,0,4006.0,1,1,1022.16,4245.0,5263.4141666666665,,,,,,6,,,,,,,1126,1125.0858333333333,0.9141666666666879,0.0,0.0,0.0
5/8 16:07:16.993,Player-4904-00822A31,BUFF,Slam!,1,,,,,1,0,0,0,,,,,,0,,,,,,,1126,1125.0858333333333,0.9141666666666879,0.0,0.0,0.0
5/8 16:07:17.775,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,0000000000000000,,1002.0,nil,1.0,,1,0,4245.0,5263.4141666666665,,,,,,6,,,,,,,1126,1125.0858333333333,0.9141666666666879,0.0,0.0,0.0
5/8 16:07:18.024,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Deep Wound,,118.0,0,878.0,nil,0,0,4390.0,4386.178472222222,878.0,877.2356944444444,3.821527777778101,0.764305555555552,5.0,5,,True,,0.015138888888941437,,,2004,2002.3215277777776,1.6784722222223536,0.0,0.015138888888941437,0.0
5/8 16:07:18.024,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Bloodthirst,,118.0,0,4140.0,1,1,1022.16,4390.0,5408.338472222222,,,,,,6,,,,,,,2004,2002.3215277777776,1.6784722222223536,0.0,0.015138888888941437,0.0
5/8 16:07:18.024,Player-4904-00822A31,BUFF,Bloodthirst,1,,,,,1,0,0,0,,,,,,0,,,,,,,2004,2002.3215277777776,1.6784722222223536,0.0,0.015138888888941437,0.0
5/8 16:07:18.270,Player-4904-00822A31,BUFF,Bloodrage,0,,,,,1,0,0,0,,,,,,0,,,,,,,2004,2002.3215277777776,1.6784722222223536,0.0,0.015138888888941437,0.0
5/8 16:07:19.153,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,Deep Wound,,118.0,0,901.0,nil,0,0,4505.0,4506.9487268518515,901.0,901.3897453703703,-1.948726851851461,-0.3897453703702922,5.0,5,,,,,,,2905,2903.711273148148,1.2887268518520614,0.0,0.015138888888941437,0.0
5/8 16:07:19.424,Player-4904-00822A31,Creature-0-4908-571-18024-33229-0000586B7B,0000000000000000,,1629.0,nil,1.0,,0,0,4505.0,4506.9487268518515,,,,,,5,,,,,,,2905,2903.711273148148,1.2887268518520614,0.0,0.015138888888941437,0.0
